instnm,control,tuitionfee_in,tuitionfee_out,md_earn_wne_p10
Tiffin University,2,25000,25000,42600
Notre Dame College,2,30160,30160,42600
Ohio Northern University,2,32260,32260,63500
University of Science and Arts of Oklahoma,1,7200,17550,32000
Wittenberg University,2,39500,39500,43200
Southwestern Oklahoma State University,1,7335,14235,39300
Xavier University,2,38530,38530,51600
Youngstown State University,1,8967,9327,35900
Oklahoma State University-Main Campus,1,9019,24539,46500
Oklahoma Wesleyan University,2,27136,27136,50900
Southern Nazarene University,2,25234,25234,47600
George Fox University,2,36020,36020,45100
Grove City College,2,17930,17930,.
Pennsylvania State University-Penn State New Kensington,1,13702,21886,50100
La Roche University,2,28564,28564,40400
Pennsylvania State University-Penn State Scranton,1,14468,23028,50100
Lafayette College,2,53630,53630,68600
Pennsylvania State University-Penn State Beaver,1,13702,21886,50100
Salem College,2,29166,29166,36300
University of North Carolina at Asheville,1,7145,23868,34500
Baldwin Wallace University,2,32586,32586,44400
Capital University,2,35466,35466,44000
North Dakota State University-Main Campus,1,9414,13393,48200
Case Western Reserve University,2,49042,49042,74600
Wake Forest University,2,53322,53322,63800
Valley City State University,1,7626,17166,39300
Cincinnati Christian University,2,17228,17228,32700
Malone University,2,30860,30860,41700
Heidelberg University,2,31000,31000,39300
Hiram College,2,36358,36358,42700
Miami University-Middletown,1,5880,16472,47100
John Carroll University,2,41340,41340,53800
University of Mount Union,2,30860,30860,42900
University of Oklahoma-Health Sciences Center,1,.,.,51100
Oklahoma City University,2,31026,31026,42800
Oral Roberts University,2,27728,27728,37600
Concordia University-Portland,2,31158,31158,43300
Alvernia University,2,34900,34900,44500
University of Portland,2,45904,45904,58800
Reed College,2,56340,56340,42200
Arcadia University,2,43580,43580,44100
Bloomsburg University of Pennsylvania,1,10958,22782,44500
New Hope Christian College-Eugene,2,14830,14830,29500
University of Western States,2,.,.,50400
Linfield College-McMinnville Campus,2,43302,43302,55200
Alfred University,2,29188,29188,41400
New Mexico Institute of Mining and Technology,1,7770,22268,50000
The College of New Jersey,1,16551,28266,58500
William Paterson University of New Jersey,1,13060,21260,46600
Western New Mexico University,1,6066,13539,30900
Metropolitan College of New York,2,19454,19454,36600
Dominican College of Blauvelt,2,29000,29000,46300
Central Yeshiva Tomchei Tmimim Lubavitz,2,7700,7700,23500
Fordham University,2,52687,52687,59200
Clarkson University,2,49444,49444,72000
Mirrer Yeshiva Cent Institute,2,8570,8570,.
The New School,2,49064,49064,44500
Sarah Lawrence College,2,55900,55900,43000
Yeshiva Karlin Stolin,2,12800,12800,.
Yeshiva Derech Chaim,2,12100,12100,.
Yeshiva of Nitra Rabbinical College,2,8500,8500,15800
School of Visual Arts,3,39900,39900,41800
Wagner College,2,47090,47090,56700
Webb Institute,2,50175,50175,.
University of North Carolina School of the Arts,1,9371,25514,35500
Gardner-Webb University,2,32000,32000,38700
University of Cincinnati-Main Campus,1,11000,27334,42300
Marietta College,2,36040,36040,45800
Kenyon College,2,55930,55930,48700
Nossi College of Art,3,17800,17800,26800
University of Washington-Bothell Campus,1,11138,36519,57700
University of Phoenix-Utah,3,.,.,47100
California State University-Monterey Bay,1,7143,19023,44800
Trine University-Regional/Non-Traditional Campuses,2,9576,9576,43300
Schiller International University,3,14360,14360,.
Messenger College,2,9180,9180,19600
University of Phoenix-Hawaii,3,9552,9552,47100
The University of Alabama,1,10780,29230,44500
Judson College,2,18510,18510,26100
University of West Alabama,1,10040,18490,37400
University of Alaska Fairbanks,1,6657,20218,38700
Birmingham-Southern College,2,17650,17650,46700
University of South Alabama,1,8396,16292,37800
Greenville University,2,27130,27130,36800
Blackburn College,2,22410,22410,37400
Lewis University,2,32450,32450,48800
Olivet Nazarene University,2,36070,36070,40400
Grand View University,2,27608,27608,43200
Purdue University Global-Cedar Rapids,1,14343,14343,33900
Benedictine College,2,29530,29530,40100
Central Christian College of Kansas,2,20350,20350,31700
Saint Ambrose University,2,30894,30894,47300
University of Iowa,1,9267,31233,51900
Waldorf University,3,22076,22076,37800
Baker University,2,29830,29830,51300
Loras College,2,34184,34184,44600
Ashford University,3,12160,12160,41200
University of Northern Iowa,1,8938,19480,44600
Georgetown College,2,38650,38650,43000
Washburn University,1,8312,18560,40300
Louisiana State University-Alexandria,1,6668,14024,33700
University of Pikeville,2,20950,20950,31100
The Southern Baptist Theological Seminary,2,20433,20433,.
Southeastern Louisiana University,1,8165,20643,37200
University of Maine at Fort Kent,1,8115,12315,33400
