UNITID,INSTNM,STABBR,LONGITUD,LATITUDE
441052,American Career College-Anaheim,CA,-117.975599,33.849912
441229,West Coast Ultrasound Institute,CA,-118.302836,34.061409
441238,Irell & Manella Graduate School of Biological Sciences at City of Hope,CA,-117.972791,34.129048
441256,Design's School of Cosmetology,CA,-120.672526,35.648459
441937,California State University-Channel Islands,CA,-119.04356,34.162949
442240,Paul Mitchell the School-Costa Mesa,CA,-117.927468,33.695103
442657,Milan Institute-Palm Desert,CA,-116.353268,33.783343
442888,InterCoast Colleges-Riverside,CA,-117.344752,33.993598
442930,University of Antelope Valley,CA,-118.134968,34.683587
442985,California Healing Arts College,CA,-118.265919,33.844718
443128,International Technological University,CA,-121.930991,37.38881
443207,NTMA Training Centers of Southern California,CA,-118.074231,33.94302
443331,West Coast University-Los Angeles,CA,-118.39941,34.187134
443571,InterCoast Colleges-West Covina,CA,-117.89763,34.073416
444130,Northcentral University,CA,-117.243889,32.910805
444219,Folsom Lake College,CA,-121.127486,38.661372
444325,ATI College-Norwalk,CA,-118.003835,33.948521
444343,Advanced College,CA,-118.15794,33.915383
444361,Advanced Training Associates,CA,-116.981781,32.819023
444510,CES College,CA,-118.303297,34.180401
444529,Stellar Career College,CA,-121.071015,37.701963
445188,University of California-Merced,CA,-120.424944,37.366237
445364,North-West College-Riverside,CA,-117.485881,33.9145
446093,Cambridge Junior College-Yuba City,CA,-121.652227,39.13994
446118,Career Care Institute,CA,-118.15638,34.678236
446163,Community Christian College,CA,-117.217101,34.068664
446385,Los Angeles College of Music,CA,-118.150113,34.139293
446561,Stanbridge University,CA,-117.857636,33.678879
447050,United States University,CA,-117.154904,32.7769
447458,SAE Expression College,CA,-122.2954,37.847631
447607,United Education Institute-Chula Vista,CA,-117.065355,32.608605
447616,United Education Institute-West Covina,CA,-117.90946,34.075984
447713,California Career College,CA,-118.601794,34.197566
447722,Palladium Technical Academy Inc,CA,-118.04358,34.091838
447731,Palace Beauty College,CA,-118.309491,34.044739
447759,National Polytechnic College,CA,-118.143809,33.860528
447768,American Career College-Ontario,CA,-117.583814,34.068204
447777,Asher College,CA,-121.415767,38.587784
447795,American Institute of Massage Therapy,CA,-117.848291,33.71488
447801,University of East-West Medicine,CA,-121.997011,37.3864
447810,Blake Austin College,CA,-121.945606,38.378548
447953,SUM Bible College and Theological Seminary,CA,-121.055684,38.620464
448381,San Joaquin Valley College-Central Administrative Office,CA,-119.333362,36.298938
448433,Universal Technical Institute of Northern California Inc,CA,-121.529503,38.64575
448594,West Hills College-Lemoore,CA,-119.823866,36.292431
448637,West Hills Community College District,CA,-120.356097,36.178802
448895,Milan Institute-Fresno,CA,-119.795645,36.822404
449357,Beaumont Adult School,CA,-116.964728,33.951365
449366,Make-up Designory,CA,-118.308336,34.180238
449384,Gnomon,CA,-118.329083,34.089501
449393,Coachella Valley Beauty College,CA,-116.278254,33.708193
449445,Valley College of Medical Careers,CA,-118.606731,34.221839
449870,University of the West,CA,-118.082964,34.045985
449968,Paul Mitchell the School-San Diego,CA,-117.160838,32.719128
449986,Paul Mitchell the School-Sherman Oaks,CA,-118.467369,34.155811
450696,Carrington College-Stockton,CA,-121.323199,37.998992
450702,Carrington College-Citrus Heights,CA,-121.29421,38.679983
450960,Healthcare Career College,CA,-118.149645,33.889719
450979,Trident University International,CA,-118.032177,33.80595
450988,Coastline Beauty College,CA,-117.921471,33.728821
451006,Eagle Rock College,CA,-118.299476,34.06133
454546,Milan Institute of Cosmetology-Fairfield,CA,-122.0455,38.248448
454573,Milan Institute of Cosmetology-Visalia,CA,-119.309922,36.301861
454698,Mayfield College,CA,-116.458827,33.790822
454722,Academy of Esthetics and Cosmetology,CA,-118.444228,34.285043
454759,Borner's Barber College,CA,-118.309291,33.95588
454768,Paul Mitchell the School-Pasadena,CA,-118.133403,34.144765
454777,San Francisco Institute of Esthetics & Cosmetology Inc,CA,-122.407083,37.777043
454786,Laurus College,CA,-120.669519,35.2682
454795,Healing Hands School of Holistic Health,CA,-117.086211,33.129652
454801,Career Development Institute Inc,CA,-118.386067,34.045817
455433,The Chicago School of Professional Psychology at Irvine,CA,-117.838089,33.650763
455512,Woodland Community College,CA,-121.73533,38.660392
455664,The Chicago School of Professional Psychology at Los Angeles,CA,-118.257251,34.047958
455734,California Nurses Educational Institute,CA,-116.490142,33.816672
455761,Paul Mitchell the School-Sacramento,CA,-121.41594,38.594752
455770,Providence Christian College,CA,-118.141062,34.149327
455868,National Career College,CA,-118.446211,34.22245
456588,Salon Success Academy-Fontana,CA,-117.437904,34.099087
456597,Salon Success Academy-Redlands,CA,-117.218933,34.062342
457077,Milan Institute-Bakersfield,CA,-119.023088,35.385513
457086,Homestead Schools,CA,-118.35009,33.809096
457208,InterCoast Colleges-Rancho Cordova,CA,-121.334243,38.561309
457244,San Diego Culinary Institute,CA,-117.024063,32.763846
457253,Beyond 21st Century Beauty Academy,CA,-118.041477,33.916443
457271,Academy for Jewish Religion-California,CA,-118.438495,34.070281
457299,Angeles College,CA,-118.29903,34.061223
457314,Angeles Institute,CA,-118.080741,33.875772
457323,Paul Mitchell the School-Temecula,CA,-117.146674,33.507316
458210,West Coast University-Orange County,CA,-117.911811,33.81104
458229,West Coast University-Ontario,CA,-117.590035,34.066591
458575,Zaytuna College,CA,-122.260927,37.877201
459161,Trinity School of Health and Allied Sciences,CA,-118.298733,33.858729
459170,Paul Mitchell the School-Modesto,CA,-120.993745,37.68301
459189,Cosmo Beauty Academy,CA,-121.401027,38.62883
459198,Paul Mitchell the School-Fresno,CA,-119.782437,36.809778
459204,Unitek College,CA,-121.961761,37.50904
459213,Gurnick Academy of Medical Arts,CA,-122.307618,37.547377
459231,Paul Mitchell the School-East Bay,CA,-122.061226,37.94492
459727,Touro University Worldwide,CA,-118.057754,33.808683
459736,Touro University California,CA,-122.263949,38.085479
460075,California University of Management and Sciences,CA,-117.95846,33.848301
460394,Moreno Valley College,CA,-117.20271,33.88744
460464,Norco College,CA,-117.570212,33.917387
460516,Milan Institute of Cosmetology-La Quinta,CA,-116.288341,33.711954
461148,New York Film Academy,CA,-118.335567,34.152076
461175,International College of Cosmetology,CA,-122.220803,37.774887
461254,Galaxy Medical College,CA,-118.396209,34.186976
461263,American Medical Sciences Center,CA,-118.256991,34.147117
461500,Santa Ana Beauty Academy,CA,-117.835205,33.766402
461607,Elite Cosmetology School,CA,-116.435531,34.121188
461643,Bergin University of Canine Studies,CA,-122.666954,38.289155
461829,Cinta Aveda Institute,CA,-122.404307,37.790935
461856,Southern California Health Institute,CA,-118.526822,34.200827
462062,Academy for Salon Professionals,CA,-118.558215,34.23396
